feature1,feature2,feature3,target
8.791199136699522,6.899791323307388,6.806505759617279,1
1.4779072673872695,3.7340983234629377,9.95141690442552,0
7.476784056848185,8.872477566753268,1.1855374683926134,1
0.33524861283365626,8.790974568359148,4.5292243711931395,0
4.863720374678616,6.773002885487185,1.5889748097829925,1
5.02735262419235,2.6670957167119402,0.30793780576160223,0
1.7799245853277068,7.645571210292673,6.870639468908807,0
6.5802290303924424,7.656310360593918,8.403666792958242,0
4.40018148721082,4.9513261653027065,4.759956015373493,0
4.140655668930936,3.08819546301656,7.727691736016052,0
3.490478485358879,5.751416228089675,0.7178222331392436,0
1.9040842491665577,9.259421824638766,0.9104631121945206,1
3.5772543646667154,7.114300680787759,6.190223612733412,1
4.627999113972486,1.753789123489431,4.516103791685766,0
8.708954672854412,0.6817546126761553,7.594725254733286,1
1.0232127330790208,8.730675694062054,6.176126574858738,1
0.8471378519581108,8.543932785178065,0.8891903866733253,0
8.15969700557011,6.216227994187396,7.685789233311949,0
1.5439231609470105,5.846729414668288,1.6402826046167285,1
3.550243965051254,4.499864626036732,2.4656118387943735,0
0.9071519967826658,5.317387143265044,5.750977727095995,1
6.176903854762061,6.075644192848908,9.661572695777354,1
5.809753825934422,3.775510025332661,0.792305979433493,1
9.2360778284362,3.056725095463293,1.820068569453378,0
7.343562195328546,3.173631778481197,9.27965198497472,0
7.283160725139538,3.4643984878312994,4.139385782659066,0
4.700010600219752,6.302119630365246,4.361372047288165,0
7.604113348302946,0.8211287425922065,5.686119801142794,0
5.431402191258901,5.398994569848567,8.223754528103132,0
8.257721519196147,8.227375628517114,0.38744847558288664,1
7.562746911830292,0.07627069784908791,8.370887676831542,0
7.4411620134551235,9.625524892705812,7.180586454707859,1
4.122116846906398,8.771669710040179,8.829580199652069,0
8.14200460802687,9.498198209087352,7.241626923880487,1
8.665286034693741,0.35356455968596157,1.0168315427051222,1
4.604461117745475,4.74127076439308,8.157955084867737,0
6.324936074264161,3.5563747286144087,8.177167247482855,0
3.69411988870024,1.090602576036036,1.6661749183871188,1
2.6195291160430467,9.125117601539369,1.8428201001513989,1
1.5950915881553651,3.803034909591565,7.2058920634469885,0
6.488019405463653,7.675173348929746,1.2894167057368988,1
6.169567555326249,7.369766814632952,2.0897610755994678,1
4.200045484328763,8.377584954130025,1.855323993835919,0
4.814682898670357,0.46214326633279956,7.3663487758945685,0
1.7117525188044302,6.170720671651587,5.662705746221423,1
8.695833987695838,1.7847160990042255,2.3533866384035775,1
7.554274174014425,6.599420462632101,0.4925623198251017,0
0.4857285094401709,1.5228753380503735,5.018058674374256,0
2.5100903790966345,4.932135655650739,5.029673323690428,0
6.192264091988513,0.3599137484661352,3.1049213365106176,1
1.7088278611398378,0.5867274691446744,8.422129193157103,0
6.683969413365958,3.2426125984420153,1.5635351883668536,0
0.40279224056819496,3.9105519921298937,8.597752400689549,0
2.4341440623243527,7.536769664191027,6.4109506307870845,0
3.2186350405985076,0.8062790186148261,8.43240226070154,1
3.898131514600415,0.7199610358291597,2.816060358281142,1
1.3590780285943271,7.598221648017379,3.0783754592263946,0
1.655607809250551,7.583101545085796,5.2737706114131875,0
